Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
Female,42,1,43,1,1-2 Year,No,31809,124,250,0
Male,59,1,28,0,1-2 Year,Yes,91969,26,200,1
Male,55,1,28,0,1-2 Year,Yes,39488,26,198,1
Female,54,1,45,1,1-2 Year,No,27092,152,140,0
Male,23,1,29,1,< 1 Year,No,25415,152,241,0
Female,53,1,28,0,1-2 Year,Yes,30042,124,128,1
Male,40,1,11,0,1-2 Year,Yes,2630,26,243,1
Male,21,1,28,1,< 1 Year,No,30476,152,23,0
Male,24,1,41,1,< 1 Year,No,31360,152,109,0
Female,48,1,28,0,1-2 Year,Yes,66716,26,178,1
Male,29,1,50,0,< 1 Year,No,26022,152,276,0
Female,34,1,8,1,1-2 Year,No,44591,26,260,0
Female,48,1,28,1,1-2 Year,No,39714,152,133,0
Male,26,1,41,0,< 1 Year,Yes,34195,26,101,1
Female,22,1,15,0,< 1 Year,Yes,23470,152,15,1
Male,71,1,40,0,1-2 Year,Yes,38688,26,82,1
Female,50,1,28,0,1-2 Year,Yes,34785,157,199,1
Female,24,1,30,0,1-2 Year,No,2630,156,220,1
Male,35,1,3,0,1-2 Year,Yes,30216,124,119,1
Female,21,1,37,1,< 1 Year,No,34297,152,82,0
Female,37,1,28,0,1-2 Year,Yes,41366,124,12,1
Female,39,1,26,0,1-2 Year,Yes,31380,122,59,1
Female,28,1,32,1,< 1 Year,No,20373,152,204,0
Female,24,1,29,1,< 1 Year,No,2630,152,21,0
Male,27,1,28,0,< 1 Year,Yes,45303,163,116,0
Male,23,1,8,1,< 1 Year,No,40298,152,198,0
Male,40,1,8,0,1-2 Year,No,26503,124,147,1
Male,47,1,28,0,1-2 Year,Yes,43033,26,258,0
Male,60,1,8,1,1-2 Year,Yes,39377,124,245,0
Female,34,1,2,0,1-2 Year,Yes,34470,155,172,1
Male,22,1,8,1,< 1 Year,No,29929,152,250,0
Male,34,1,45,1,1-2 Year,Yes,25344,124,260,0
Female,39,1,15,0,1-2 Year,Yes,33294,14,237,1
Male,24,1,8,1,< 1 Year,No,31839,152,229,0
Male,67,1,18,0,1-2 Year,Yes,33706,26,161,1
Male,39,1,7,0,1-2 Year,Yes,41159,124,71,0
Male,33,1,28,0,< 1 Year,Yes,44799,13,256,1
Female,62,1,30,0,1-2 Year,Yes,26915,26,111,1
Male,22,1,28,1,< 1 Year,No,26225,152,227,0
Female,29,1,22,1,< 1 Year,No,53208,152,40,0
Female,47,1,41,1,1-2 Year,No,38804,26,193,0
Male,46,1,8,1,1-2 Year,No,76995,152,210,0
Male,56,1,28,0,> 2 Years,Yes,58823,26,33,1
Female,24,1,28,1,< 1 Year,No,36549,152,179,0
Female,45,1,28,0,1-2 Year,Yes,50277,26,94,0
Male,21,1,47,0,< 1 Year,Yes,23513,160,47,0
Male,38,1,28,0,1-2 Year,Yes,24814,124,178,1
Male,55,1,8,1,1-2 Year,No,2630,124,129,0
Female,34,1,28,0,1-2 Year,Yes,60624,122,25,1
Male,25,1,50,0,< 1 Year,No,26680,152,192,0
Male,31,1,50,1,1-2 Year,No,31744,8,243,0
Male,23,1,16,1,< 1 Year,No,29681,152,213,0
Male,45,1,28,1,1-2 Year,No,28843,26,190,0
Male,54,1,46,0,1-2 Year,Yes,32627,156,137,1
Male,45,1,28,0,1-2 Year,Yes,22929,122,238,0
Male,46,1,46,0,1-2 Year,Yes,32169,124,95,1
Male,32,1,41,0,1-2 Year,Yes,43957,124,238,1
Female,40,1,28,0,1-2 Year,Yes,2630,52,250,1
Female,30,1,28,0,< 1 Year,Yes,28758,124,277,1
Male,45,1,28,0,1-2 Year,Yes,35607,26,21,1
Male,67,1,46,1,1-2 Year,No,27654,26,13,0
Female,24,1,8,1,< 1 Year,No,28343,151,241,0
Male,26,1,36,1,< 1 Year,No,37768,152,61,0
Male,47,1,8,0,1-2 Year,Yes,53218,25,79,1
Female,40,1,24,0,1-2 Year,No,28556,124,60,1
Male,39,1,33,0,1-2 Year,Yes,2630,124,189,1
Male,28,1,8,0,< 1 Year,Yes,2630,156,107,1
Male,47,1,12,0,1-2 Year,Yes,2630,26,271,1
Female,32,1,32,0,1-2 Year,No,2630,124,81,0
Male,35,1,34,0,1-2 Year,No,31392,152,176,0
Female,21,1,8,1,< 1 Year,No,39160,160,189,0
Female,25,1,30,0,< 1 Year,Yes,32428,154,209,1
Female,40,1,30,1,1-2 Year,No,36014,124,206,0
Male,48,1,28,0,> 2 Years,Yes,51521,26,52,1
Female,21,1,11,0,< 1 Year,Yes,31920,160,45,0
Male,32,1,28,0,1-2 Year,Yes,30622,122,166,1
Male,55,1,28,0,1-2 Year,Yes,36816,26,126,1
Male,39,1,45,0,1-2 Year,Yes,30364,124,294,1
Male,22,1,3,0,< 1 Year,Yes,30276,152,77,1
Male,49,1,41,0,1-2 Year,No,2630,156,118,0
Female,20,1,16,0,< 1 Year,Yes,24953,160,108,0
Male,25,1,11,1,< 1 Year,No,26293,152,63,0
Male,31,1,35,0,1-2 Year,Yes,27996,124,292,0
Male,58,1,28,0,> 2 Years,Yes,32812,26,173,1
Male,57,1,18,1,1-2 Year,No,26525,26,186,0
Male,22,1,18,0,< 1 Year,Yes,27376,152,191,1
Male,21,1,28,0,< 1 Year,Yes,52158,152,232,1
Female,26,1,12,1,< 1 Year,No,37863,152,115,0
Male,52,1,29,1,1-2 Year,No,35417,124,256,0
Male,52,1,28,0,1-2 Year,Yes,28825,122,131,1
Male,24,1,19,1,< 1 Year,No,2630,152,224,0
Female,51,1,41,0,1-2 Year,Yes,39097,26,136,0
Male,34,1,8,0,1-2 Year,Yes,26368,152,229,1
Male,22,1,46,1,< 1 Year,No,29155,152,85,0
Male,43,1,28,0,> 2 Years,Yes,57906,26,80,1
Male,62,1,8,0,1-2 Year,Yes,100656,156,48,1
Male,34,1,18,0,1-2 Year,Yes,19599,26,183,1
Female,38,1,28,0,1-2 Year,Yes,58816,124,79,1
Male,51,1,8,0,1-2 Year,Yes,2630,154,262,0
Female,38,1,28,0,1-2 Year,Yes,43924,124,217,1
Male,62,1,28,0,> 2 Years,Yes,48795,55,208,1
Female,22,1,29,0,1-2 Year,Yes,30402,124,81,0
Male,31,1,18,1,< 1 Year,Yes,25374,124,121,0
Female,40,1,28,0,1-2 Year,Yes,26636,26,113,1
Male,56,1,3,0,1-2 Year,No,28437,124,12,0
Male,36,1,11,1,1-2 Year,No,34670,152,277,0
Female,49,1,28,0,1-2 Year,Yes,23923,163,243,1
Male,36,1,39,0,1-2 Year,Yes,2630,156,100,1
Male,32,1,8,0,< 1 Year,Yes,31674,26,215,0
Female,32,1,46,0,< 1 Year,Yes,24805,124,48,1
Male,52,1,28,0,1-2 Year,Yes,36643,124,134,1
Female,27,1,41,1,< 1 Year,No,31124,152,189,0
Male,35,1,32,0,1-2 Year,Yes,34020,124,39,1
Male,60,1,28,0,1-2 Year,Yes,2630,26,104,1
Male,47,1,28,0,1-2 Year,Yes,34743,124,34,1
Female,21,1,50,1,< 1 Year,No,33618,160,78,0
Male,23,1,47,1,< 1 Year,No,34730,152,251,0
Male,44,1,11,0,1-2 Year,Yes,49620,154,19,1
Female,32,1,45,1,< 1 Year,No,2630,152,119,0
Female,24,1,9,0,< 1 Year,Yes,29516,152,293,0
Female,50,1,28,0,1-2 Year,Yes,42448,26,99,1
Female,24,1,28,0,< 1 Year,Yes,26634,151,86,1
Female,39,1,8,0,1-2 Year,Yes,28857,124,219,1
Male,69,1,0,0,> 2 Years,Yes,2630,124,200,0
Female,24,1,10,0,< 1 Year,No,22792,152,20,0
Male,37,1,11,0,1-2 Year,No,33827,124,66,0
Female,23,1,28,1,< 1 Year,No,38350,152,161,0
Female,25,1,28,1,< 1 Year,No,36571,152,223,1
Female,23,1,29,1,< 1 Year,No,40933,152,293,0
Male,31,1,28,1,< 1 Year,No,49314,152,235,0
Female,46,1,28,0,1-2 Year,Yes,38787,26,256,1
Female,42,1,8,0,1-2 Year,Yes,40493,26,214,1
Male,60,1,50,0,1-2 Year,Yes,2630,25,96,1
Female,42,1,48,0,1-2 Year,Yes,2630,157,124,1
Male,24,1,8,1,< 1 Year,No,53381,152,171,0
Female,23,1,41,1,< 1 Year,No,29206,152,206,0
Male,65,1,29,0,1-2 Year,Yes,38298,26,170,0
Male,28,1,10,0,< 1 Year,Yes,27921,156,101,1
Female,21,1,10,0,< 1 Year,Yes,28067,152,191,1
Female,21,1,42,0,< 1 Year,Yes,42952,160,127,0
Female,64,1,13,1,1-2 Year,No,40408,125,12,0
Male,37,1,11,0,1-2 Year,Yes,38591,124,197,1
Female,24,1,41,1,< 1 Year,No,27981,152,56,0
Male,42,1,28,0,1-2 Year,Yes,40496,26,295,0
Male,48,1,7,0,1-2 Year,Yes,33390,157,189,1
Male,55,1,28,0,1-2 Year,Yes,39279,26,67,1
Male,28,1,50,0,< 1 Year,Yes,25180,124,263,1
Female,21,1,22,0,< 1 Year,Yes,28703,160,114,0
Female,66,1,23,1,1-2 Year,No,20945,26,134,0
Male,47,1,46,0,1-2 Year,Yes,25325,124,272,0
Male,21,1,45,1,< 1 Year,No,20392,152,58,0
Female,21,1,33,1,< 1 Year,No,26690,152,21,0
Female,41,1,43,0,1-2 Year,Yes,2630,124,238,0
Female,42,1,49,0,1-2 Year,Yes,2630,124,287,0
Female,25,1,11,1,< 1 Year,No,20187,152,252,0
Male,21,1,28,0,< 1 Year,Yes,2630,156,205,1
Male,74,1,30,0,> 2 Years,Yes,34753,124,206,1
Female,23,1,28,1,< 1 Year,No,42642,160,227,0
Male,48,1,2,1,1-2 Year,No,36393,124,38,0
Female,50,1,2,0,1-2 Year,Yes,32479,156,282,1
Male,23,1,28,1,1-2 Year,No,2630,157,265,0
Male,40,1,28,0,1-2 Year,Yes,37219,124,257,0
Female,21,1,47,0,< 1 Year,Yes,23794,152,69,0
Male,62,1,28,0,> 2 Years,Yes,2630,124,134,1
Female,67,1,28,1,1-2 Year,No,40944,10,239,0
Male,43,1,28,0,1-2 Year,Yes,32360,124,52,0
Male,37,1,10,0,1-2 Year,Yes,20936,124,83,1
Female,23,1,22,0,< 1 Year,Yes,34006,151,16,0
Female,49,1,28,0,1-2 Year,Yes,2630,124,94,1
Female,68,1,28,1,1-2 Year,No,2630,160,196,0
Female,38,1,29,0,1-2 Year,Yes,22845,124,231,1
Female,69,1,28,1,1-2 Year,No,30398,122,119,0
Male,25,1,41,1,< 1 Year,No,66329,152,37,0
Male,29,1,21,1,< 1 Year,No,30409,152,244,0
Male,46,1,28,0,1-2 Year,Yes,23698,124,239,1
Female,22,1,36,0,< 1 Year,Yes,34092,152,72,1
Male,21,1,46,0,< 1 Year,Yes,26010,160,143,1
Female,32,1,8,1,< 1 Year,No,34139,152,73,0
Male,35,1,28,0,1-2 Year,Yes,23000,154,99,0
Female,36,1,50,0,1-2 Year,Yes,31581,26,31,1
Female,24,1,41,1,< 1 Year,No,18357,152,243,0
Female,29,1,11,0,1-2 Year,Yes,25714,154,60,0
Male,27,1,41,1,< 1 Year,No,34236,152,219,0
Female,44,1,28,0,1-2 Year,Yes,63916,13,95,1
Female,40,1,28,0,1-2 Year,Yes,40395,124,87,1
Female,59,1,3,0,1-2 Year,Yes,29631,124,203,1
Female,64,1,28,0,1-2 Year,Yes,76145,26,171,0
Female,25,1,8,1,< 1 Year,No,22565,152,249,0
Female,20,1,30,1,< 1 Year,No,30226,160,53,0
Male,72,1,39,0,1-2 Year,No,2630,156,150,0
Male,61,1,3,0,1-2 Year,Yes,2630,124,238,1
Female,37,1,8,0,1-2 Year,Yes,30930,156,139,1
Male,28,1,28,0,< 1 Year,Yes,27693,122,289,1
Male,38,1,28,0,1-2 Year,Yes,44516,124,116,1
Male,47,1,28,0,1-2 Year,Yes,41754,26,274,0
Female,40,1,1,0,1-2 Year,Yes,2630,124,34,1
Male,28,1,13,1,< 1 Year,No,29800,160,31,0
Female,30,1,43,0,1-2 Year,Yes,2630,156,82,1
Female,26,1,15,0,< 1 Year,Yes,38908,152,12,1
Male,26,1,46,0,< 1 Year,Yes,38966,152,91,0
Male,43,1,28,0,1-2 Year,Yes,30845,13,134,1
Female,56,1,28,0,1-2 Year,Yes,62647,124,199,1
Female,34,1,41,0,1-2 Year,Yes,2630,163,47,1
Female,23,1,47,1,< 1 Year,No,37658,152,29,0
Female,30,1,8,0,< 1 Year,Yes,28724,152,109,1
Female,48,1,28,0,1-2 Year,Yes,49214,26,132,0
Female,27,1,28,1,< 1 Year,No,28332,152,296,0
Female,43,1,28,0,1-2 Year,Yes,40504,124,294,1
Male,43,1,28,0,1-2 Year,Yes,47655,26,108,0
Male,31,1,28,0,1-2 Year,Yes,44862,26,18,0
Male,31,1,29,0,< 1 Year,Yes,21824,107,193,1
Male,34,1,10,0,1-2 Year,Yes,26541,26,155,1
Female,29,1,29,0,1-2 Year,Yes,30352,124,69,1
Female,24,1,13,0,< 1 Year,Yes,26867,152,113,0
Female,46,1,36,0,1-2 Year,Yes,30128,124,46,1
Male,68,1,8,0,1-2 Year,Yes,33686,26,23,1
Female,48,1,8,0,1-2 Year,Yes,37926,124,31,1
Female,47,1,11,0,1-2 Year,Yes,19799,155,20,0
Male,57,1,27,0,1-2 Year,Yes,2630,157,232,1
Female,40,1,28,0,1-2 Year,Yes,42950,26,199,1
Female,43,1,28,0,1-2 Year,Yes,31091,31,224,1
Male,23,1,29,1,< 1 Year,No,31732,152,252,0
Female,24,1,3,1,< 1 Year,No,32847,152,23,0
Female,42,1,28,0,1-2 Year,Yes,36923,23,76,1
Male,64,1,8,0,1-2 Year,Yes,31372,124,53,1
Female,46,1,7,0,1-2 Year,Yes,31334,26,102,1
Male,38,1,41,1,1-2 Year,No,24722,155,122,0
Female,23,1,43,0,< 1 Year,Yes,30941,124,254,0
Male,36,1,15,0,1-2 Year,Yes,39747,124,289,1
Female,37,1,28,0,1-2 Year,Yes,42996,26,91,0
Female,30,1,35,1,< 1 Year,No,29951,152,139,0
Female,41,1,24,1,1-2 Year,No,31249,26,250,1
Male,48,1,28,0,1-2 Year,Yes,56931,26,59,0
Male,60,1,47,0,1-2 Year,Yes,37512,26,137,0
Female,25,1,29,1,< 1 Year,No,25454,152,290,0
Male,48,1,28,0,1-2 Year,Yes,43085,124,159,0
Male,36,1,28,0,1-2 Year,Yes,35149,26,120,1
Female,44,1,28,0,> 2 Years,Yes,44314,26,94,0
Male,36,1,28,1,1-2 Year,No,30038,122,173,0
Male,43,1,35,0,1-2 Year,Yes,18905,124,105,0
Male,77,1,28,0,1-2 Year,No,31238,156,172,0
Male,56,1,8,0,1-2 Year,Yes,30499,124,256,0
Male,41,1,7,0,1-2 Year,Yes,33401,124,241,0
Female,25,1,47,0,< 1 Year,Yes,20453,160,119,0
Female,39,1,46,0,1-2 Year,Yes,2630,156,216,1
Female,58,1,35,0,1-2 Year,Yes,33562,124,104,1
Female,27,1,6,1,< 1 Year,No,27511,152,71,0
Male,31,1,17,0,< 1 Year,Yes,27213,152,245,1
Male,23,1,14,0,< 1 Year,Yes,29405,154,194,0
Female,49,1,28,0,1-2 Year,Yes,2630,156,115,1
Male,27,1,36,1,< 1 Year,No,30269,152,194,0
Male,42,1,45,0,> 2 Years,Yes,32065,26,15,1
Male,70,1,28,0,> 2 Years,Yes,60320,155,182,0
Female,40,1,3,0,1-2 Year,Yes,26317,30,251,1
Male,30,1,35,0,1-2 Year,Yes,2630,156,293,0
Female,41,1,8,0,1-2 Year,Yes,21297,124,46,1
Female,73,1,28,1,1-2 Year,No,45572,26,238,0
Male,43,1,28,0,1-2 Year,Yes,35519,124,241,0
Female,80,1,46,0,> 2 Years,Yes,33396,124,170,1
Female,45,1,28,0,1-2 Year,Yes,42249,26,162,1
Male,50,1,46,1,1-2 Year,No,39080,124,260,0
Male,62,1,35,0,1-2 Year,Yes,36164,26,48,1
Male,22,1,46,1,< 1 Year,No,22636,152,40,0
Male,48,1,18,0,1-2 Year,Yes,28233,26,133,1
Female,20,1,8,0,< 1 Year,Yes,31742,160,63,0
Male,25,1,37,0,< 1 Year,Yes,30139,153,163,1
Male,40,1,28,0,> 2 Years,Yes,47617,122,161,1
Female,26,1,21,1,< 1 Year,No,30320,152,147,0
Female,24,1,8,1,< 1 Year,No,36034,152,106,0
Male,25,1,41,1,< 1 Year,No,34423,152,63,0
Female,21,1,4,0,< 1 Year,Yes,15711,152,79,1
Female,51,1,28,0,1-2 Year,Yes,34312,26,293,1
Male,24,1,8,0,< 1 Year,Yes,2630,156,117,0
Male,43,1,36,1,1-2 Year,No,24828,124,49,0
Male,44,1,8,0,> 2 Years,Yes,61876,124,261,1
Male,49,1,28,0,1-2 Year,Yes,27941,124,221,0
Female,35,1,28,0,1-2 Year,Yes,39531,124,93,1
Male,63,1,28,0,1-2 Year,Yes,65429,26,214,1
Male,52,1,48,0,1-2 Year,Yes,2630,26,189,0
Female,50,1,40,0,1-2 Year,Yes,25560,163,241,1
Male,63,1,24,1,1-2 Year,No,2630,145,288,0
Male,45,1,28,0,1-2 Year,Yes,29251,26,288,1
Male,42,1,28,0,1-2 Year,Yes,39430,26,253,0
Female,60,1,9,0,1-2 Year,Yes,2630,156,175,1
Female,42,1,33,0,1-2 Year,Yes,2630,132,108,0
Male,68,1,33,1,1-2 Year,No,39784,124,194,0
Female,56,1,28,0,> 2 Years,Yes,39888,4,212,1
Male,56,1,25,1,1-2 Year,No,21924,26,114,0
Male,50,1,28,0,1-2 Year,Yes,39057,26,73,1
Female,46,1,28,0,1-2 Year,Yes,2630,26,198,1
Female,27,1,11,1,< 1 Year,No,42808,152,74,0
Female,64,1,28,0,1-2 Year,Yes,42362,125,108,1
Male,74,1,28,0,1-2 Year,Yes,45418,122,96,1
Female,21,1,15,1,< 1 Year,No,38113,152,219,0
Female,44,1,6,0,1-2 Year,Yes,32779,124,158,1
Male,34,1,28,0,1-2 Year,Yes,2630,157,15,0
Male,43,1,28,0,1-2 Year,Yes,41391,124,154,1
Female,48,1,18,0,1-2 Year,Yes,43239,124,66,0
Male,44,1,43,1,1-2 Year,Yes,20895,163,82,1
Male,30,1,8,0,1-2 Year,Yes,2630,163,275,1
Female,24,1,8,0,< 1 Year,No,26981,152,213,0
Female,26,1,15,1,< 1 Year,No,2630,152,253,0
Male,36,1,30,0,1-2 Year,Yes,2630,26,229,0
Male,40,1,38,0,1-2 Year,Yes,33957,124,189,1
Male,26,1,11,1,< 1 Year,No,37977,152,183,0
Female,52,1,28,0,1-2 Year,Yes,34039,26,156,1
Male,52,1,37,0,1-2 Year,Yes,2630,157,190,1
Female,24,1,3,1,< 1 Year,No,26528,152,289,0
Male,48,1,28,0,1-2 Year,Yes,30153,124,39,1
Male,31,1,28,0,< 1 Year,Yes,36397,124,31,1
Male,44,1,11,0,1-2 Year,Yes,37936,163,245,1
Female,43,1,41,0,1-2 Year,Yes,49821,26,95,1
Male,60,1,28,0,> 2 Years,Yes,40565,122,119,0
Female,29,1,28,0,1-2 Year,Yes,2630,154,297,1
